,location,text,location2,point,latitude,longitude,altitude
3,Puerto Rico,"Biogen, Eli Lilly, Takeda ask staff to work from home to limit coronavirus spread | FirstWord Pharma https://t.co/uxYoAZ0Zoi","Puerto Rico, Orocovis, Puerto Rico, United States of America","(18.2214149, -66.41328179513847, 0.0)",18.2214149,-66.41328179513847,0.0
11,The pool of life.,"Odious liar, racist, far-right extremist hate preacher, potential terrorist, FBI target, sex offender lick-spittle,… https://t.co/FE7sxSvS6j","{Life, Point Cook, City of Wyndham, Victoria, Australia","(-37.9105144, 144.74777160224443, 0.0)",-37.9105144,144.74777160224443,0.0
13,"North Carolina, USA",@GMA My family has a cruise schedule in April. We’ve received email from cruise line about measures in place to red… https://t.co/JJCWKgBb7Z,"North Carolina, United States of America","(35.6729639, -79.0392919, 0.0)",35.6729639,-79.0392919,0.0
15,"Brooklyn, New York",TODAY • @prattinstitute What is Pratt doing about COVID-19 (#Coronavirus)? Join us for a faculty and staff forum wi… https://t.co/2C17zd4G0Z,"Brooklyn, Kings County, New York, United States of America","(40.6501038, -73.9495823, 0.0)",40.6501038,-73.9495823,0.0
16,"Occoquan, VA","I'm mostly nervous about taking public transportation these days because PEOPLE ARE FOUL!

https://t.co/fbaKWK2JWF","Occoquan, Prince William County, Virginia, 22125, United States of America","(38.6837271, -77.260261, 0.0)",38.6837271,-77.260261,0.0
20,"Austin, TX",Everything we know about the 26 coronavirus deaths in the U.S.  https://t.co/TynXWhmlBJ,"Austin, Travis County, Texas, United States of America","(30.2711286, -97.7436995, 0.0)",30.2711286,-97.7436995,0.0
22,Chicago,(4) Donald Trump floats tax cuts as response to coronavirus impact | Financial Times https://t.co/r8qqtUehtI,"Chicago, Cook County, Illinois, United States of America","(41.8755616, -87.6244212, 0.0)",41.8755616,-87.6244212,0.0
26,UK,"Trump news – live: White House sources say president fretting over coronavirus, as Biden opens huge poll lead over… https://t.co/Xq2GGc7SNY",United Kingdom,"(54.7023545, -3.2765753, 0.0)",54.7023545,-3.2765753,0.0
28,Leprechaun Land,@D_Raval @coolhandfinn Projection doesn't make it fact. Nobody can predict the future. It's not the coronavirus tha… https://t.co/HFo4dSXsNo,"Swansea Island, Greenwood Drive, Adamsdale, Sudbury, Greater Sudbury, Sudbury District, Northeastern Ontario, Ontario, P3B 1A2, Canada","(46.476429, -80.9338913, 0.0)",46.476429,-80.9338913,0.0
29,"SOUTH KOREA, WORLD","Dr. Drew and Dr. Oz Rip Media for Coronavirus Panic, Urge Common Sense https://t.co/FCrtRU4Td5","World, 시청로, 죽항동, 남원시, 전라북도, 55775, 대한민국","(35.4135202, 127.3915246, 0.0)",35.4135202,127.3915246,0.0
55,"Berkeley, CA",OK one confirmed coronavirus case visited IKEA. We should just shut down the whole country right now and spare the bother.,"Berkeley, Grey County, Southwestern Ontario, Ontario, N0H 1C0, Canada","(44.3669375, -80.7272504, 0.0)",44.3669375,-80.7272504,0.0
58,India 🇮🇳,"Foreign Investors Set To Turn Net Sellers In Equity Markets This Month

Tracking a global selloff as investors the… https://t.co/7zVImYv9vO",India,"(22.3511148, 78.6677428, 0.0)",22.3511148,78.6677428,0.0
65,London,"That's your prime minister there, suggesting we let people die rather than fighting coronavirus. Well done to those… https://t.co/UCRNvMNqk0","London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
68,"New York, NY","One of the easier things to predict, 11 days away ... then the response will be intra-US quarantine for 2 months or… https://t.co/bDQc6gT2BV","New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
72,United Kingdom,"David Squires on … British football's reaction to the coronavirus outbreak

https://t.co/H0PoWgKOQj",United Kingdom,"(54.7023545, -3.2765753, 0.0)",54.7023545,-3.2765753,0.0
74,"New Jersey, USA",Wall Street Plunges as Trump Fiddles in Response to the Coronavirus https://t.co/2PHpJySKAX via @NewYorker,"New Jersey, United States of America","(40.0757384, -74.4041622, 0.0)",40.0757384,-74.4041622,0.0
75,"England, United Kingdom","Olympiakos (and Nottm Forest) owner Evangelos Marinakis has announced he's contracted coronavirus

It's been less t… https://t.co/iYEprYDPjj","England, United Kingdom","(52.7954791, -0.5402402866174321, 0.0)",52.7954791,-0.5402402866174321,0.0
